Title,Budget,Gross,IMDb Rating,Metascore,Reviews,Likes,Success/Flop
Fast X,340000000,676000000,7.349,7.349,1719,11393.514,Success
John Wick: Chapter 4,90000000,431769198,7.906,7.906,3083,3761.669,Success
The Super Mario Bros. Movie,100000000,1308766975,7.808,7.808,4864,3163.738,Success
Spider-Man: Across the Spider-Verse,100000000,494002979,8.7,8.7,1455,2616.839,Success
Transformers: Rise of the Beasts,200000000,227045464,7.275,7.275,329,2097.734,Success
The Flash,190000000,139000000,6.8,6.8,344,1807.078,Flop
Avatar: The Way of Water,460000000,2320250281,7.695,7.695,8627,1322.791,Success
The Little Mermaid,250000000,467000000,6.168,6.168,689,1246.928,Success
Guardians of the Galaxy Vol. 3,250000000,821801000,8.104,8.104,1985,1336.974,Success
Guy Ritchie's The Covenant,55000000,20000000,7.645,7.645,567,1067.486,Flop
Evil Dead Rise,15000000,141512122,7.061,7.061,1642,1210.372,Success
Sisu,6200000,10568631,7.398,7.398,701,1070.082,Success
Ant-Man and the Wasp: Quantumania,200000000,475766228,6.478,6.478,3314,1144.621,Success
The Pope's Exorcist,18000000,70204828,7.227,7.227,1418,891.245,Success
Shazam! Fury of the Gods,125000000,133437105,6.716,6.716,1975,814.095,Success
Operation Seawolf,15000,23000,6.167,6.167,48,910.576,Success
Spider-Man: Into the Spider-Verse,90000000,375464627,8.402,8.402,13187,823.473,Success
Puss in Boots: The Last Wish,90000000,480000000,8.284,8.284,5752,794.67,Success
Creed III,75000000,269000000,7.244,7.244,1619,682.769,Success
Elemental,200000000,48000000,7.7,7.7,39,559.401,Flop
Spider-Man: No Way Home,200000000,1921847111,8.0,8.0,17590,492.405,Success
Scream VI,35000000,168541093,7.265,7.265,1386,504.014,Success
The Wandering Earth II,73801827,604380922,7.192,7.192,271,496.898,Success
Transformers: Age of Extinction,210000000,1104054072,5.914,5.914,7383,373.674,Success
Dungeons & Dragons: Honor Among Thieves,151000000,208177026,7.455,7.455,1717,408.283,Success
